,Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
0,9.1,3.54,1.39,0.482,F5,16.84501631012894,9
1,9.27,21.9,3.1,0.999,K3V,20.97222057420059,0
2,6.61,2.81,0.63,-0.019,B9,13.8535315995254,9
3,8.06,7.75,0.97,0.37,F0V,17.506508512531553,0
4,8.55,2.87,1.11,0.902,G8III,15.839409483669964,1
5,12.31,18.8,4.99,1.336,M0V:,23.6807892463184,0
6,9.64,17.74,1.3,0.74,G0,20.88476807747854,9
7,9.05,5.17,1.95,1.102,M6e-M8.5e Tc,17.617452715469714,9
8,8.59,4.81,0.99,1.067,G5,17.00072538186916,9
9,7.34,4.29,0.84,0.081,A2,15.50228646092362,9
10,8.43,4.06,1.16,1.484,K4III,16.47263016788597,1
11,8.8,3.49,1.48,1.128,K0III,16.5141271347959,1
12,7.25,5.11,0.99,1.2,K0,15.792104500673563,9
13,8.6,2.45,1.16,1.166,K2,15.545830421822664,9
14,8.15,6.15,1.0,0.425,F3V,17.094375578877084,0
15,11.03,19.93,2.36,1.567,K5,22.52753649350244,9
16,6.53,4.12,0.64,0.955,G5,14.604486080165676,9
17,8.51,10.76,1.06,0.516,G0,18.66906135665185,9
18,7.55,5.84,0.95,1.438,K2,16.382064235561998,9
19,8.69,4.47,1.15,0.962,G8/K0III/IV,16.941537615659684,1
20,7.57,12.21,0.95,0.456,F2V,18.00357831972441,0
21,6.28,13.74,0.98,0.763,G3IV,16.969933663617656,1
22,9.13,9.19,1.34,0.535,F7V,18.94657755693056,0
23,9.32,9.66,1.38,0.671,G5V,19.24488563207747,0
24,8.83,5.64,1.05,0.468,F3/F5V,17.586395519916714,0
25,9.14,2.85,1.4,1.041,G8III,16.41422430004255,1
26,8.26,3.79,0.88,0.142,A0,16.15319604984036,9
27,7.63,1.84,1.05,1.453,K2,13.954089115047683,9
28,9.09,3.1,1.29,0.04,B8,16.546808469171363,9
29,8.1,8.94,1.09,0.466,F2,17.856687593979586,9
30,6.43,12.71,0.74,0.514,F7.5IV-V,16.950727752770042,1
31,9.07,5.96,1.45,0.916,G8/K0III/IV,17.946231298701182,1
32,7.68,6.3,0.96,1.15,K0,16.67670274726791,9
33,10.44,3.74,2.72,0.391,F0V,18.3043580110024,0
34,8.65,23.84,0.78,0.778,G6V,20.536531255341,0
35,7.46,10.98,1.18,0.475,F3V,17.663011700570365,0
36,8.7,3.42,1.04,0.026,A0,16.370130530280676,9
37,10.61,-3.4,4.25,0.57,B...,18.267394585211274,9
38,8.2,6.38,0.91,0.387,F2,17.22410339360581,9
39,6.18,7.63,0.6,1.032,G9III-IV,15.592622689774402,1
40,7.91,2.41,1.01,1.104,K2,14.820085212874345,9
41,8.57,1.19,1.2,1.035,K1III,13.947734806962654,1
42,10.78,24.45,1.97,1.15,K3V,22.721394317298195,0
43,7.31,1.86,0.87,1.164,K0/K1III,13.657564721089582,1
44,9.53,1.59,1.28,0.45,F5,15.536985621602255,9
45,6.49,16.89,0.8,0.616,G1IV,17.628148247855044,1
46,8.94,0.41,1.3,0.906,K0,12.003919283598677,9
47,8.56,3.95,0.77,0.196,A4V,16.5429854781323,0
48,10.57,20.97,1.71,1.03,M:,22.17799215232672,9
49,7.4,14.66,0.98,0.551,G2IV/V,18.230669851525548,1
50,8.12,3.47,1.27,1.329,K0,15.821647373954368,9
51,8.27,33.89,0.79,0.863,K2V,20.92035784418689,0
52,7.05,26.06,0.67,0.52,G0,19.12987205688283,9
53,8.34,6.18,0.83,0.386,F2IV,17.29494237544408,1
54,8.86,5.6,1.11,1.081,K5,17.600940135031003,9
55,8.08,3.45,0.94,1.156,K2III,15.76909547536637,1
56,7.83,7.48,0.93,0.495,F5,17.199507989322306,9
57,8.79,31.8,1.17,0.94,K0,21.302135599922163,9
58,8.33,6.35,1.12,0.135,A0,17.34386862645988,9
59,8.97,10.63,1.25,0.671,G3/G5V,19.10266632261649,0
60,6.9,3.97,0.69,1.446,K2,14.893952533815575,9
61,9.93,24.22,1.36,1.068,K5,21.85087069403517,9
62,7.42,1.6,0.79,1.524,K4III,13.440599913279623,1
63,9.03,2.29,1.19,1.67,M0,15.82917741169944,9
64,8.41,3.53,1.12,0.022,A0V,16.148873526939113,0
65,8.4,15.59,1.43,0.566,G2V,19.36423057594421,0
66,9.5,1.82,1.37,1.107,G5,15.800356939925374,9
67,8.85,2.28,1.3,1.726,M0,15.639674235002268,9
68,9.61,18.9,1.33,0.852,K0,20.99230902086622,9
69,10.62,3.9,2.06,0.359,A2,18.57532303513249,9
70,7.8,4.52,1.08,0.43,F5,16.07569217405691,9
71,5.71,5.97,0.7,0.911,G8III,14.589871655646846,1
72,7.87,2.6,0.96,1.566,K2,14.94486673985409,9
73,7.64,9.35,0.92,0.5,F5IV/V,17.49405805436259,1
74,7.66,4.21,1.23,1.3,K0,15.78141047917834,9
75,8.68,4.77,1.44,0.944,G8III,17.072591895200567,1
76,10.1,10.48,1.48,0.644,G2,20.201806413238536,9
77,8.67,7.85,1.17,0.513,F5V,18.144348283726263,0
78,10.46,19.83,5.16,1.36,M0,21.94661357102651,9
79,9.87,6.49,1.44,0.551,F6/F7V,18.931223484001848,0
80,9.48,5.52,1.74,0.53,F5V,18.189695388645998,0
81,7.04,1.27,0.7,2.835,C5p,12.559018604779784,9
82,8.44,4.49,1.08,0.898,G0,16.701231705016617,9
83,9.88,7.35,1.74,0.509,F5IV/V,19.21143669542097,1
84,8.29,9.15,0.76,0.538,F6V,18.09710547033224,0
85,9.34,8.16,1.21,0.543,F7V,18.898450793769307,0
86,7.73,4.44,0.75,0.455,F0,15.9669148505731,9
87,6.22,4.5,0.73,0.97,G7II-III,14.48606256887672,1
88,8.53,0.3,0.86,1.315,K3II/III,10.91560627359831,1
89,7.23,5.33,0.94,0.388,F0,15.863636045132862,9
90,8.61,20.42,1.91,0.787,G5,20.16027868875446,9
91,11.28,27.11,2.33,1.308,M2,23.445647587902428,9
92,10.76,31.35,4.17,1.384,M1.5V:,23.24118772583368,0
93,8.93,0.27,1.09,0.021,A0,11.086818820794935,9
94,7.95,9.93,1.95,0.654,G0IV,17.934746242476905,1
95,9.2,12.08,1.33,0.606,G0,19.61033467142556,9
96,6.82,7.49,0.83,1.071,K0,16.19240908849733,9
97,6.83,3.66,0.83,1.197,K2III,14.647405426972052,1
98,4.78,14.77,0.47,1.254,K2III,15.62690247655975,1
99,7.21,5.07,0.7,1.169,K0,15.73503979666668,9
100,5.58,0.86,0.56,0.407,F0III,10.252492256217838,1
101,6.5,15.2,0.63,0.182,Am...,17.409217939723863,9
102,8.13,8.11,0.83,0.2,A4V,17.67510427105578,0
103,6.62,3.51,0.79,0.545,F5IV,14.34653558232912,1
104,9.96,1.3,1.71,0.264,A0,15.529716761534186,9
105,8.64,20.1,1.22,0.62,G5,20.155980287102444,9
106,10.03,1.62,1.45,1.289,B0,16.077575072713152,9
107,9.04,8.98,0.93,0.546,F7V,18.80638168333652,0
108,8.47,5.61,1.1,1.35,K5,17.214814306280807,9
109,7.33,16.04,0.69,0.73,K0,18.356021819740725,9
110,8.66,3.57,0.75,1.364,K5,16.423341080560967,9
111,10.35,20.05,1.64,1.033,K3,21.860571884781,9
112,5.13,7.98,0.71,-0.128,B7III-IV,14.640014456753647,1
113,8.96,4.39,1.29,0.306,A9V,17.17232260121061,0
114,8.49,-0.13,1.19,1.569,K5,9.059716761534183,9
115,11.26,22.92,2.17,0.932,K3,23.06107306647676,9
116,10.02,5.1,1.42,0.456,F5,18.55785088048968,9
117,8.9,5.54,1.23,0.459,F8,17.61754882364215,9
118,7.78,7.56,1.37,0.411,F3IV...,17.172608977506034,1
119,4.37,7.86,0.94,1.631,M3III,13.84711273019704,1
120,7.09,7.03,0.89,0.999,K0III,16.32477662509912,1
121,6.93,16.92,0.81,0.292,A3,18.072001793515025,9
122,8.98,2.38,1.09,1.5,K5,15.86288478528256,9
123,9.84,2.71,1.33,0.696,G0,17.00484645437203,9
124,7.98,4.41,0.82,0.97,G9III,16.202192947339192,1
125,10.16,-0.59,1.74,0.45,Ap...,14.014260058210722,9
126,8.58,3.5,0.9,0.06,B9,16.300340221751377,9
127,9.56,1.95,1.34,1.113,R...,16.01017305681259,9
128,9.24,63.03,1.98,1.39,M0V,23.237736535628077,0
129,5.8,80.63,3.03,0.69,G3V,20.332483298996763,0
130,8.45,1.31,1.03,0.248,A2,14.03635647827882,9
131,7.84,3.98,0.87,0.923,G5,15.839415360368438,9
132,7.97,9.02,2.5,0.556,F7V,17.746032687709707,0
133,6.77,2.51,0.64,1.832,M0,13.76836860740519,9
134,5.04,6.4,0.87,-0.15,B4V,14.070899869919437,0
135,8.48,29.75,1.21,0.888,K0,20.84743485032284,9
136,6.33,7.55,0.82,0.182,A6V,15.71973475814594,0
137,8.99,6.69,1.38,0.5,G0,18.11713058883912,9
138,9.55,2.49,1.41,0.237,A3,16.53099673547868,9
139,8.74,10.47,1.17,0.57,G0,18.83973340839421,9
140,12.43,22.98,4.38,1.49,M3,24.23675012176133,9
141,8.16,3.31,1.11,1.032,G5,15.759139968878594,9
142,5.7,26.53,0.77,0.315,F0V,17.818686249911647,0
143,7.62,8.08,1.0,0.517,F8,17.15705680387293,9
144,8.95,0.98,1.18,1.677,K5,13.906130378462477,9
145,7.24,4.07,0.88,0.074,A0,15.2879720461261,9
146,10.32,3.17,1.67,0.323,F2,17.825296311088756,9
147,8.24,10.06,0.99,0.474,F5,18.25298990359954,9
148,9.18,2.16,1.59,0.981,K0III,15.852268755754654,1
149,8.54,8.84,1.25,0.384,F2,18.272261325065365,9
150,9.41,2.46,1.07,0.967,G6/G8III,16.364675535516895,1
151,5.87,1.57,1.67,1.073,G8III,11.849498262046168,1
152,7.2,-0.69,9.62,0.085,A2V,11.394245453686278,0
153,9.52,3.88,1.36,0.832,G8,17.464158627971038,9
154,7.7,7.8,0.95,1.003,G5,17.160473013452403,9
155,8.17,3.36,0.99,0.29,A3,15.80169638694922,9
156,7.29,2.73,0.63,0.118,A0,14.47081323520378,9
157,7.94,3.21,0.89,0.016,A0,15.47252516202436,9
158,8.42,4.14,1.05,1.005,G8III,16.505001705604496,1
159,7.52,6.27,0.81,0.18,A0,16.50633770415358,9
160,7.74,7.68,1.11,0.483,F2,17.166806100157558,9
161,9.01,1.25,1.47,1.01,K0,14.494550065040285,9
162,7.17,21.58,1.65,0.617,G0,18.84025720173446,9
163,10.3,0.63,1.67,0.254,F0/F2V,14.29670274726791,0
164,9.58,4.59,1.21,0.5,F6/F7IV,17.889063427686306,1
165,8.09,2.96,1.08,1.26,K0,15.446458555294694,9
166,9.0,6.32,1.32,0.903,G8IV,18.003585391411924,1
167,8.76,2.37,1.28,1.01,K0,15.63374173005052,9
168,7.76,7.41,0.93,0.967,G8IV,17.10909103989664,1
169,7.82,4.11,0.8,1.041,K0III,15.889209109380346,1
170,9.73,18.29,1.56,0.99,K3,21.041068527382084,9
171,9.19,6.08,1.68,0.346,F0,18.109517896363677,9
172,8.75,13.24,1.03,0.552,F8,19.35943992551841,9
173,8.14,5.19,1.99,0.88,K0,16.71583678924229,9
174,6.46,6.78,0.88,1.176,K1III,15.616148469335318,1
175,7.96,11.84,1.16,0.421,F2/F3V,18.326758511934507,0
176,8.87,3.15,1.18,0.081,A0V,16.361552768948002,0
177,6.59,6.28,0.78,1.122,K0,15.57979821868598,9
178,9.15,8.21,2.41,0.424,F3V,18.721715785597205,0
179,12.04,32.93,3.49,1.473,M1,24.62795865355954,9
180,9.06,1.06,0.94,1.688,K5III:,14.186529326323852,1
181,8.18,0.24,1.01,1.462,K5,10.08105620855803,9
182,8.77,3.82,1.02,1.125,G5,16.680316814558545,9
183,7.36,4.7,0.63,0.146,A2,15.72048928967859,9
184,8.82,1.39,1.31,0.979,G8/K0III,14.535074001270477,1
185,6.24,0.93,0.57,0.332,B3Ia,11.082414742769677,1
186,9.44,5.68,4.61,0.439,F3V,18.211741678555093,0
187,7.49,15.55,0.95,0.636,G0,18.44865196681428,9
188,6.96,15.84,0.81,0.353,F2V,17.958775886267375,0
189,7.45,4.99,0.99,0.353,A5,15.94050272811695,9
190,9.23,0.11,0.93,1.006,K0,9.436963425791124,9
191,8.21,1.46,1.04,-0.123,Ap...,14.031764278922186,9
192,8.11,2.92,0.79,-0.019,A0,15.43691425724209,9
193,7.89,8.63,1.11,0.401,F0,17.57005397857605,9
194,9.67,2.83,1.45,0.397,F0V,16.92893217762145,0
195,6.8,6.42,0.75,0.06,A2,15.837675140344269,9
196,4.55,14.31,0.92,-0.047,B9IVn,15.32819816879888,1
197,11.55,16.27,2.71,1.26,M0,22.606937764684297,9
198,8.01,10.62,1.46,0.406,F3/F5V,18.14062258372725,0
199,9.62,6.67,0.97,0.657,F8V,18.740629169582743,0
200,7.26,5.48,1.25,0.355,F0,15.953902792421845,9
201,9.45,2.07,1.37,1.115,G8/K0IV,16.029851727284587,1
202,8.19,1.2,0.84,0.26,O8e,13.585906230238123,9
203,7.65,3.93,0.97,0.992,G8IV,15.621962751877131,1
204,9.83,9.2,1.5,0.699,G5,19.648939136727776,9
205,5.9,0.89,0.58,0.274,A1III,10.646950033224565,1
206,10.8,1.88,2.21,0.882,Gp,17.1707892463184,9
207,8.88,5.57,1.09,0.253,A0,17.609275975868645,9
208,7.59,1.47,0.77,1.68,K5,13.42658667374088,9
209,9.6,11.87,1.49,0.75,G5,19.972253594772955,9
210,10.66,-1.21,1.79,1.45,B,16.07392685158225,9
211,5.78,11.29,0.92,1.084,K0III,16.04346970962484,1
212,7.77,4.1,1.06,-0.058,B8/B9V,15.833919283598677,0
213,9.8,22.52,1.48,0.855,K0V,21.562841930896543,0
214,9.22,3.01,1.4,1.001,K0,16.612832477969217,9
215,4.99,2.03,0.93,1.619,K3Ibvar,11.527480189566065,1
216,8.73,3.4,0.93,1.036,K0III,16.387394585211275,1
217,6.11,1.94,1.12,0.159,B9III,12.549008649651132,1
218,10.82,0.81,2.56,1.021,M5,15.362425094393249,9
219,7.02,6.13,1.59,1.1,K0,15.957302372592077,9
220,8.37,4.04,1.18,0.881,K0,16.401906825553024,9
221,5.59,5.7,0.53,-0.1,B8III,14.369374278362455,1
222,7.37,11.46,0.84,0.422,F5IV,17.665923088156855,1
223,5.68,10.3,0.58,1.051,K1III,15.74418612352586,1
224,9.39,9.37,2.81,0.735,G5,19.24869795443889,9
225,8.46,1.61,0.92,0.556,F2,14.49412938015925,9
226,8.28,5.65,1.16,0.002,A0IV,17.040242239097193,1
227,9.21,3.05,1.34,0.964,K0,16.63149919673393,9
228,6.09,27.18,4.3,0.632,G2V,18.261247261982376,0
229,7.47,14.53,1.21,0.55,F8V,18.28132807149011,0
230,8.63,1.67,1.1,1.57,M0,14.743582355737916,9
231,8.84,8.73,1.17,0.759,G5,18.54507121852785,9
232,6.32,6.95,0.81,1.099,G9III:,15.52992402295057,1
233,7.53,23.9,0.85,0.577,G0V,19.42198950474069,0
234,7.41,2.53,0.69,1.288,K0,14.42560260587909,9
235,6.71,6.66,0.75,0.068,A1Vn,15.827371145851505,0
236,9.37,6.64,8.01,0.51,F0,18.480840396840087,9
237,9.95,86.98,1.41,1.472,M2,24.647097016646583,9
238,6.88,10.35,0.81,0.174,A2,16.954701748964684,9
239,9.3,10.28,1.33,0.538,F3/F5V,19.35996557329629,0
240,8.3,3.18,1.04,0.998,G5,15.812135599922165,9
241,7.08,5.31,0.63,-0.006,B9,15.705472605407346,9
242,8.38,4.33,1.15,-0.06,B9V,16.56243948176683,0
243,4.61,25.38,1.05,1.029,K1III,16.63245808879343,1
244,8.78,1.29,1.02,1.156,K2III,14.332948551496244,1
245,7.71,5.05,0.64,1.093,K0III,16.226456890593308,1
246,6.91,6.75,1.03,1.12,G5,16.056518864155123,9
247,9.9,2.61,1.46,0.599,F8,16.983202536691405,9
248,7.39,4.76,0.99,0.99,K0III,15.778034763602466,1
249,6.97,3.07,0.93,1.444,K5,14.405691877385934,9
250,7.86,11.04,0.91,0.494,F8,18.0748453669659,9
251,6.99,4.25,0.78,1.187,K0III,15.131944650251558,1
252,8.36,7.0,1.01,0.247,A0,17.585490200071284,9
253,8.22,21.03,1.06,0.636,G0,19.83419636343161,9
254,5.55,8.75,0.8,0.901,G5III,15.260040265111568,1
255,9.91,5.59,1.7,0.353,A9/F0V,18.647059039432115,0
256,10.07,1.32,1.52,0.923,G5,15.672869656029247,9
257,10.15,7.28,1.45,0.677,G5,19.460656896565187,9
258,7.75,5.95,1.68,0.414,F2+...,16.622584828642747,9
259,9.66,-0.26,1.41,0.787,G5V,11.734866739854091,0
260,9.99,7.92,1.61,0.646,G5/G6V,19.48362590794747,0
261,7.51,24.85,0.92,0.595,G0V,19.486631965346756,0
262,9.57,6.5,1.46,0.51,G0,18.63456678321428,9
263,9.71,0.87,1.53,0.915,G8IV/V,14.407596263093094,1
264,6.65,3.28,0.85,0.912,G5,14.229369218558396,9
265,9.82,5.66,1.65,0.418,F2V,18.58408215594136,0
266,5.98,49.3,1.05,0.687,G5V,19.44423459638615,0
267,7.6,2.35,1.15,1.539,M...,14.45533931135868,9
268,12.17,56.92,2.73,1.55,M4,25.94632445706123,9
269,10.13,4.69,1.62,0.593,F8,18.485864213575415,9
270,5.57,3.32,0.54,-0.023,B9III,13.175690418520182,1
271,9.85,4.6,1.18,0.526,F6V,18.16378915840787,0
272,9.76,2.9,1.34,1.39,M6e,17.07198998949478,9
273,9.35,3.91,1.56,0.41,F2V,17.310883786979332,0
274,10.95,13.26,2.41,1.008,K1,21.56271762034377,9
275,6.68,5.13,0.79,0.986,G9III,15.23058682555908,1
276,9.69,10.02,3.4,0.578,F6V,19.69433860765613,0
277,6.07,72.98,0.75,0.752,K0V,20.38601929514315,0
278,9.74,4.82,1.5,0.494,F8,18.15523519119425,9
279,8.03,1.65,0.76,1.631,K5p...,14.117419721069531,9
280,6.19,25.59,0.75,0.386,F2IV,18.230351429435927,1
281,10.18,0.77,1.61,0.58,F5V,14.61245362586241,0
282,10.41,2.89,1.9,0.51,B8,17.71448921378274,9
283,7.44,7.12,0.92,0.203,A5,16.70239996818428,9
284,10.52,6.74,2.27,0.512,G0,19.6632994826766,9
285,9.31,6.51,1.2,0.226,A9V,18.37790494284096,0
286,10.28,6.34,2.0,0.503,F3V,19.290446289408663,0
287,7.56,11.92,0.61,0.419,F5IV-V,17.941381277021087,1
288,7.88,4.23,0.74,0.407,F2,16.01170183687521,9
