,Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
573,11.05,0.88,1.74,0.751,B,15.772413360750845,9
574,6.29,2.13,0.78,1.357,K0,12.931898017193689,9
575,11.78,45.22,3.65,1.44,M,25.056652790046705,9
576,12.15,14.8,4.83,1.387,K7V:,23.001308576974782,0
577,6.37,13.04,0.54,0.283,F0IVn,16.946387956979507,1
578,4.87,16.68,0.7,1.077,K0III-IV,15.9809802315086,1
579,11.1,17.59,2.51,1.18,K7V:,22.326329197287308,0
580,3.6,28.48,0.77,1.065,K0III,15.872699924824092,1
581,12.26,19.48,4.65,0.994,K7,23.707944762712984,9
582,2.66,32.81,0.62,0.16,A5Vv SB,15.24003115193024,0
583,11.96,21.25,7.75,1.365,K7V:,23.59679467193165,0
584,11.22,12.15,2.85,1.155,K7,21.642881389671658,9
585,3.41,13.94,0.64,1.542,K5II-III,14.131313868809954,1
586,5.11,14.72,0.78,0.028,A0V,15.949539050007402,0
587,4.84,9.05,0.73,1.372,K4III,14.623242896026015,1
588,11.12,2.98,2.24,0.739,G5,18.49108132038128,9
589,5.82,34.19,0.57,0.489,F6V,18.48949550398297,0
590,3.62,11.09,0.82,0.974,G8III,13.8446577307458,1
591,5.75,33.71,0.72,0.639,G2IV,18.388793762604863,1
592,4.68,15.96,0.68,0.991,K0III,15.695164435073554,1
593,11.82,10.33,4.37,1.305,K7V:,21.890501607598104,0
594,4.1,74.25,0.72,0.536,F8V,18.45348228994625,0
595,0.45,22.68,0.57,-0.158,B3Vp,12.228215251104343,0
596,11.6,52.95,2.92,1.496,K:,25.21932982221752,9
597,5.28,7.3,0.7,0.972,G8II-IIIvar,14.59661430060228,1
598,5.76,122.75,1.41,0.88,K0V,21.20510750397503,0
599,4.96,4.79,0.74,-0.068,B8III,13.361677567072816,1
600,4.45,8.86,0.77,1.347,K3III,14.187168609435254,1
601,5.25,15.02,0.72,1.044,K1II/III,16.133349663340745,1
602,5.52,57.63,0.64,0.551,F8V,19.323243097906783,0
603,11.13,15.11,2.17,1.183,K7V:,22.02632232169513,0
604,10.87,5.38,2.46,0.915,K0,19.523911378331945,9
605,11.39,5.56,2.07,-0.052,F2,20.11537395791029,9
606,11.75,0.34,2.83,1.22,Gp,14.407394585211277,9
607,12.24,48.23,4.35,1.695,M2,25.656586309609413,9
608,5.91,9.95,0.89,0.97,G9III,15.899115403728628,1
609,3.74,12.59,0.85,1.136,K2III,14.240128650539312,1
610,12.44,63.08,3.79,0.17,DAs,26.439458423284325,9
611,3.42,50.87,0.82,0.488,F6IV,16.952308688156773,1
612,4.39,10.15,0.6,1.597,M4III SB,14.42233021124616,1
613,5.12,10.55,0.69,-0.06,A3V,15.236262298168558,0
614,3.35,7.38,0.57,-0.15,B2pvar,12.690281809115207,9
615,2.64,54.74,0.75,0.165,A5V...,16.331523965370526,0
616,4.92,8.18,0.85,1.434,K3III,14.483766518356616,1
617,4.82,12.22,0.59,0.864,G8III,15.255356029532678,1
618,2.86,45.74,0.55,0.29,F0V,16.161480801353648,0
619,3.99,10.84,0.79,1.554,K5/M0III,14.16514641101184,1
620,5.34,11.71,0.73,0.883,G8III,15.682784475361814,1
621,4.49,27.91,0.56,0.164,A3IV,16.718799182443156,1
622,3.82,23.45,1.06,0.024,A2,15.670714235255511,9
623,11.86,23.48,3.58,1.376,K7,23.71349046287789,9
624,12.02,26.21,3.7,1.428,M1V:,24.112335104733003,0
625,5.03,17.4,0.88,0.121,A2m,16.232746241412997,9
626,2.01,49.48,0.99,1.151,K2III,15.482148454785415,1
627,3.0,26.24,0.77,0.14,A5III,15.094819153518111,1
628,11.89,7.89,3.55,1.257,M0V:,21.3753850160471,0
629,4.94,10.68,0.92,0.77,F5V comp SB,15.082856263462688,0
630,5.65,21.71,1.67,0.546,F8V,17.3332991172721,0
631,5.31,16.39,0.85,0.926,G8III:var,16.382894767852495,1
632,11.53,16.77,4.69,1.139,K7V:,22.652665313030425,0
633,10.53,8.07,2.18,0.71,G0,20.064367673610352,9
634,11.88,34.06,3.35,1.47,M2V:,24.541223218132917,0
635,11.15,21.18,2.22,1.29,K7,22.77962977885733,9
636,4.03,27.73,0.84,0.019,A1Vnn,16.24474934788931,0
637,11.81,10.03,3.8,1.273,K7,21.816504665102087,9
638,5.19,45.6,0.82,0.608,G2V,18.484824213322177,0
639,5.48,5.41,1.04,-0.098,B7IV,14.145986325532848,1
640,11.63,14.6,3.31,1.163,K7,22.451764278922184,9
641,4.73,9.46,0.7,1.532,K4III,14.609455682008964,1
642,11.72,14.83,2.93,1.198,K7V:,22.57570575514191,0
643,12.0,37.55,3.25,1.5,M4,24.873049706700936,9
644,4.46,23.04,0.8,0.153,A5p Sr,16.272412373755873,9
645,12.79,41.15,4.96,-0.056,DA,25.86184919774144,9
646,11.76,1.68,4.25,0.49,B6V,17.886546408629314,0
647,11.67,5.23,3.26,0.9,Gp,20.26250844433637,9
648,12.55,15.29,3.35,0.556,G0,23.4720374270616,9
649,4.12,21.27,0.5,-0.061,B9III,15.758837449513646,1
650,4.11,22.42,0.57,1.006,K0III,15.863178041294772,1
651,4.91,40.52,1.25,0.582,F9V,17.948347183441214,0
652,5.85,7.9,0.73,1.125,K0II-III,15.338135456452209,1
653,3.47,39.78,0.95,0.093,A3V,16.46832389394208,0
654,11.47,4.16,3.37,0.526,K:,19.565466653133715,9
655,4.65,8.82,1.78,-0.122,B3V,14.3773429256591,0
656,11.92,42.19,3.45,1.46,M2,25.04604762690941,9
657,4.47,71.56,0.76,0.481,F5/F6V,18.74335165947668,0
658,12.18,6.73,3.78,1.102,K7,21.320075321119884,9
659,11.34,-1.35,2.56,1.38,Gp,16.99166884247503,9
660,12.19,10.82,4.23,1.224,K7,22.361136303852756,9
661,3.61,20.45,0.79,-0.1,B8Vn,15.163466561716804,0
662,4.22,25.54,0.77,0.343,F2III,16.256104464636984,1
663,4.56,7.97,1.1,1.554,K5III,14.06729160698056,1
664,12.08,25.49,5.65,1.456,M1,24.111849177346336,9
665,11.97,9.12,4.24,1.185,K7,21.76997419164208,9
666,3.89,24.49,0.72,1.088,K1III-IV,15.83494392562357,1
667,5.1,8.43,0.9,-0.007,B9p...,14.729137873123712,9
668,2.88,20.22,0.54,0.128,A4III+...,14.408905756274912,1
669,4.63,11.15,1.48,0.048,A2Vs,14.866374336920895,0
670,4.71,7.69,0.76,-0.109,B6III,14.139631699007154,1
671,2.54,14.82,0.83,1.63,M2III,13.394241018216547,1
672,2.91,12.72,0.71,0.716,G8III+...,13.432435556561977,1
673,12.48,14.32,5.63,1.311,M0,23.259715089859185,9
674,2.09,35.14,0.9,-0.003,B8V,14.81900878579638,0
675,4.05,94.93,0.67,0.595,G0V,18.93701740436717,0
676,3.79,29.05,0.66,0.98,K0III,16.105730683631748,1
677,4.35,19.44,1.23,1.033,K2IIIvar,15.79348130295128,1
678,4.85,20.15,0.54,0.035,A2Vnn,16.37137525238564,0
679,3.8,70.86,0.67,0.543,F8V,18.05200573998579,0
680,11.9,24.82,4.1,1.44,K7V:,23.87400888581356,0
681,11.84,47.29,3.44,1.46,K:,25.21384657007713,9
682,3.7,12.63,0.89,1.614,M3/M4III,14.207016752776653,1
683,1.79,5.51,0.66,0.481,F5Ib,10.495757994258923,1
684,3.73,14.68,1.01,-0.082,B9Vn,14.56363027790026,0
685,4.21,0.76,0.89,0.419,B9Ia,8.614067961403958,1
686,12.16,16.1,3.74,1.288,K7,23.19412938015925,9
687,12.45,22.94,5.61,1.444,K7,24.252967067826244,9
688,4.32,4.66,0.73,-0.058,B5Ve,12.66192958345,0
689,4.29,72.89,0.78,0.575,F9V,18.60333975114294,0
690,4.57,14.88,0.55,1.023,K0III,15.433014656049298,1
691,12.27,8.87,4.26,0.683,K7,22.00961809915863,9
692,3.52,110.58,0.88,0.915,K0IV,18.73838292801359,1
693,3.84,32.71,0.46,1.133,K0IV SB,16.41340272062491,1
694,4.43,6.56,0.8,1.604,M1III,13.5145191968783,1
695,3.26,15.23,0.53,1.59,M2III,14.173499516680216,1
696,12.11,9.44,2.34,1.07,K0,21.984859971490344,9
697,12.28,5.03,5.59,1.22,K5,20.787839925279638,9
698,11.51,21.41,3.01,1.194,M0,23.16308333647219,9
699,4.64,8.46,0.75,-0.136,B5V,14.27685181519512,0
700,11.24,-3.67,3.69,1.78,M0,19.063330321260445,9
701,2.97,14.75,0.75,1.588,M1IIIb Ca-1,13.81396010157091,1
702,3.91,25.24,0.87,0.032,A1V,15.920446752860483,0
703,4.93,18.61,0.59,0.334,A9V,16.278731865653832,0
704,4.04,25.98,1.04,0.327,F2II-III,16.113195733685046,1
705,3.85,27.85,0.51,1.085,K1III,16.074125997548737,1
706,3.33,19.98,0.45,0.915,G7III,14.83297741944982,1
707,3.55,18.27,0.55,-0.108,B9V,14.858692736762688,0
708,4.6,10.25,0.87,0.043,A2V,14.653619326958864,0
709,3.65,21.17,1.17,0.981,G8III,15.27860429009706,1
710,3.97,11.95,0.59,1.468,K4III,14.356839526420783,1
711,4.28,21.07,0.8,0.263,A8Vn,15.8983226780405,0
712,3.53,21.04,0.82,1.014,K0III,15.145228677408506,1
713,3.4,21.89,0.83,0.179,A7III,15.10122880783966,1
714,5.02,20.33,0.84,0.215,A7V,16.560686893190194,0
715,3.3,18.56,0.46,-0.079,A0V:,14.642889859414217,0
716,3.81,15.62,0.63,0.957,G8III,14.778405147706408,1
717,0.87,50.09,0.95,1.538,K5III,14.36875515844757,1
718,3.19,124.6,0.95,0.484,F6V,18.66759021161576,0
719,3.68,2.59,0.8,-0.157,B2III SB,10.74649882040626,1
720,4.06,19.26,1.05,1.158,K2III,15.483281413942578,1
721,2.69,6.37,0.96,1.49,K3IIvar,11.710697161676752,1
722,11.98,23.98,2.39,1.41,O...,23.87924589381415,9
723,11.71,107.86,2.95,1.661,K:,26.87430207976072,9
724,3.18,14.87,0.74,-0.148,B3V,14.04155484260977,0
725,2.78,36.71,0.76,0.161,A3IIIvar,15.603921922519934,1
726,3.29,17.69,0.71,-0.11,B9IV: HgMn,14.528639164548617,1
727,0.18,4.22,0.81,-0.03,B8Ia,8.30656225480837,1
728,0.08,77.29,0.89,0.795,M1: comp,14.52061653648954,9
729,4.54,13.92,1.39,1.252,K3III...,15.258196176372715,1
730,4.7,7.11,0.67,-0.048,A0V,13.95934800364883,0
731,1.64,13.42,0.98,-0.224,B2III,12.278762579164868,1
732,1.65,24.89,0.88,-0.13,B7III,13.630124483042968,1
733,2.81,20.49,0.85,0.807,G5II,14.367709792005977,1
734,4.2,11.3,1.01,-0.143,B5V,14.4653922174171,0
735,2.25,3.56,0.83,-0.175,O9.5II,10.007249989864375,1
736,2.58,2.54,0.72,0.211,F0Ib,9.60416858309969,1
737,3.76,3.14,0.59,0.64,F6Ia,11.244648240366072,1
738,3.39,3.09,0.78,-0.16,O...,10.839792397124173,9
739,4.58,4.15,1.59,-0.183,B2III...,12.670240483560464,1
740,4.09,28.1,0.91,0.951,G8III-IV,16.3335315995254,1
741,2.65,12.16,0.6,-0.12,B7IV,13.074667874683582,1
742,1.74,3.99,0.79,-0.199,O9.5Ib SB,9.744864478433742,1
743,3.12,37.94,0.57,1.146,K1.5III,16.015486632763217,1
744,1.9,39.72,0.78,0.077,A2V,14.895046199116718,0
745,4.16,21.64,1.06,0.835,G7III,15.836286282172658,1
746,12.14,34.18,2.51,1.458,K,24.808860291923597,9
747,3.31,9.34,1.99,1.6,M3III,13.161734381150469,1
748,3.02,9.7,0.58,-0.16,B2.5V,12.953858671331224,0
749,1.98,6.53,0.66,-0.24,B1II/III,11.05456590637537,1
750,2.87,14.07,0.93,1.621,M3IIIvar,13.61147048717373,1
751,12.85,-13.81,18.84,1.2,K2III...,23.55096839289316,1
752,12.56,5.12,9.92,0.396,F2V,21.106349804879155,0
753,1.93,31.12,2.33,0.001,A0IV,14.395197941588258,1
754,3.17,7.71,0.52,-0.103,B8III SB,12.605271890254786,1
755,3.06,3.61,0.91,1.377,A3mA6-A9,10.84753600952829,9
756,3.24,32.96,2.14,0.225,A7IV,15.829936015125393,1
757,3.5,4.13,0.5,-0.116,B1.5IVne,11.579750258282006,1
758,4.41,5.9,0.51,0.899,G6II,13.264260058210722,1
759,2.94,17.85,0.49,1.207,K0III...,14.19819110224106,1
760,1.5,7.57,0.57,-0.211,B2II,10.895479397500363,1
761,3.78,23.02,0.69,1.006,G8IIIvar,15.590526596468864,1
762,11.85,-4.0,3.96,0.476,A:,19.86029995663981,9
763,4.15,8.7,0.77,-0.005,A2V,13.847596263093092,0
764,3.58,34.59,0.93,0.106,A3V...,16.27475281007181,0
765,2.45,1.02,0.57,-0.083,B5Ia,7.493000858809588,1
766,2.89,19.16,0.85,-0.097,B8Vvar,14.301977523712626,0
767,4.33,8.2,0.93,1.425,K3III SB,13.899069261918584,1
768,1.58,63.27,1.23,0.034,A2Vm,15.585989172295744,0
769,3.57,22.73,0.83,0.932,G8III,15.352997178624854,1
770,1.16,96.74,0.87,0.991,K0IIIvar,16.088030415262182,1
771,11.5,34.35,2.85,1.38,M1,24.17963370697785,9
772,3.34,2.42,0.74,1.218,G6Ia,10.259076829902156,1
773,12.52,-0.24,10.14,2.564,Ce+...,14.42105620855803,9
774,2.21,2.33,0.51,-0.269,O5IAf,9.046779605130094,1
775,1.86,5.16,0.49,1.196,K3III+B2V,10.423248508136057,0
776,4.31,2.31,0.46,-0.117,B1.5III,11.128059899460723,1
777,3.38,24.13,1.29,0.685,G0III-IV,15.292786609543931,1
778,4.02,15.63,0.58,1.272,K3III,14.989794890095933,1
779,12.33,9.07,4.91,0.838,K0,22.118036435300475,9
780,2.23,5.69,0.53,1.665,K4Ib-II,11.005561331975358,1
781,3.43,7.79,0.47,-0.19,B2IV,12.887687288362825,1
782,1.67,29.34,0.47,0.07,A2IV,14.00730054753632,1
783,11.93,2.27,1.84,-0.202,B2,18.71012928596561,9
784,1.99,18.4,0.78,1.44,K3III,13.314089115047684,1
785,11.7,21.37,2.38,1.1,M0,23.34902261082035,9
786,3.16,13.72,0.51,1.538,K5III,13.846770556853665,1
787,3.9,11.83,0.8,1.313,K3IIIvar,14.264923723139653,1
788,1.36,42.09,0.79,-0.087,B7V,14.480894628740112,0
789,3.45,24.27,0.79,0.029,A2IV,15.375348881659676,1
790,3.83,13.14,0.79,1.456,K4III,14.42297682611881,1
791,2.74,7.43,0.5,-0.22,B0Vp,12.094944068802876,0
792,2.34,41.07,0.6,0.033,A1V,15.407623514268264,0
793,1.81,26.38,0.53,1.061,F7V comp,13.916373956051734,0
794,2.56,56.52,0.83,0.128,A4V,16.321010765882605,0
795,12.4,38.8,4.85,1.4,M,25.34415862797104,9
796,3.54,25.23,0.83,0.947,G8III,15.549586252587872,1
797,11.59,23.21,2.28,1.36,M1,23.418375702279587,9
798,11.69,30.43,2.55,1.391,K5,24.106509761790832,9
799,3.63,25.42,0.54,0.16,A7III,15.655877731089948,1
800,2.14,90.16,0.89,0.09,A3Vvar,16.91506951519025,0
801,2.41,38.99,0.68,0.044,A0V SB,15.364766175939929,0
802,2.79,8.96,0.6,-0.193,B2IV,12.551540048310628,1
803,0.77,10.17,0.67,-0.243,B0.5IV,10.80660476461372,1
804,1.59,37.09,0.67,1.6,M4III,14.436284166643048,1
805,2.2,25.01,1.01,-0.023,A1IV,14.190568458652514,1
806,1.25,9.25,0.61,-0.238,B0.5III,11.080708663695162,1
807,1.76,40.3,0.62,-0.022,A0p,14.786525230705545,9
808,12.73,31.26,8.33,-0.115,A,25.20494486841584,9
809,2.99,24.69,0.7,0.92,G8III,14.952605449659664,1
810,12.03,55.48,39.3,1.47,M3,25.75068226200624,9
811,0.98,12.44,0.86,-0.235,B1V,11.454101901774,0
812,2.29,8.68,0.77,-0.171,B1III,11.98259862588246,1
813,1.85,32.39,0.74,-0.099,B3V SB,14.402054740050884,0
814,4.19,18.39,0.74,1.52,M5III,15.51290864619039,1
815,2.68,88.17,0.75,0.58,G0IV,17.406604203961376,1
816,2.55,8.48,0.74,-0.176,B2.5IV,12.191979261283567,1
817,0.61,6.21,0.56,-0.231,B1III,9.5754580008829,1
818,3.67,10.56,0.52,-0.049,A0III SB,13.788319590988968,1
819,2.06,53.52,0.79,1.011,K0IIIb,15.702580523798831,1
820,4.18,14.59,0.95,1.323,K3III,15.000276459467258,1
821,-0.05,88.85,0.74,1.239,K2IIIp,14.693287160706602,1
822,4.07,46.74,0.87,0.511,F7V,17.41844354028104,0
823,2.33,10.57,0.83,-0.157,B1Vn + A,12.45037493653713,0
824,13.61,-0.82,11.88,-0.042,A0,18.179069261918585,9
825,2.61,20.38,0.87,-0.071,B8V,14.156020898352038,0
826,3.22,6.39,0.86,-0.227,B1.5IV,12.247504290792,1
827,3.37,6.47,0.61,-0.191,B2IV-V,12.4245214033435,1
828,3.66,28.6,0.69,0.319,F0p,15.941830165645216,9
829,2.22,43.65,0.79,0.032,A0V,15.419921240207945,0
830,2.8,5.75,1.24,-0.216,B2IV,11.598339223448152,1
831,2.63,44.54,0.71,1.167,K2III,15.873751063490095,1
832,12.84,57.78,3.37,2.2,M:,26.64888768754089,9
833,3.23,30.34,0.79,0.966,G8III,15.64007788225356,1
834,1.06,5.4,1.68,1.865,M1Ib + B2.5V,9.721968799114844,0
835,3.92,20.04,0.65,-0.018,A0V,15.42948858597604,0
836,2.43,38.77,0.86,0.059,A2.5Va,15.372479005036048,0
837,2.7,6.29,0.81,-0.179,B2IV,11.693253227226345,1
838,1.62,4.64,0.9,-0.231,B1.5IV+...,9.952589902774406,1
839,2.08,69.84,0.88,0.155,A5III,16.300521153487566,1
840,2.98,33.94,0.87,0.981,K0III,15.633559189908285,1
841,3.1,21.87,0.92,1.582,M2III,14.799243915188187,1
842,2.72,10.67,0.93,1.38,K3III,12.86082209712235,1
843,0.03,128.93,0.55,-0.001,A0Vvar,15.58176991332001,0
844,2.05,14.54,0.88,-0.134,B2.5V,12.862822032615096,0
845,2.6,36.61,1.37,0.062,A3IV,15.417998644407657,1
846,3.07,32.54,0.46,0.99,G9III,15.6320877430042,1
847,12.29,10.44,3.44,2.0,M,22.38350249333121,9
848,3.36,65.05,0.81,0.319,F0IV,17.426236504488024,1
849,3.51,11.9,0.71,1.571,K5III,13.887734806962657,1
